"ყველა დასახელება","აქტუალური ქვეყნების დასახელება"
"ავსტრია","ავსტრია"
"ბელგია","ბელგია"
"ბულგარეთი","ბულგარეთი"
"გერმანია","გერმანია"
"დანია","დანია"
"ესპანეთი","ესპანეთი"
"ესტონეთი","ესტონეთი"
"ირლანდია","ირლანდია"
"იტალია","იტალია"
"კვიპროსი","კვიპროსი"
"ლატვია","ლატვია"
"ლიტვა","ლიეტუვა"
"ლიეტუვა (ლიტვა)","ლიეტუვა"
"ლიეტუვა","ლიეტუვა"
"ლუქსემბურგი","ლუქსემბურგი"
"მალტა","მალტა"
"ნიდერლანდები","ნიდერლანდები"
"პოლონეთი","პოლონეთი"
"პორტუგალია","პორტუგალია"
"რუმინეთი","რუმინეთი"
"საბერძნეთი","საბერძნეთი"
"საფრანგეთი","საფრანგეთი"
"სლოვაკეთი","სლოვაკეთი"
"სლოვენია","სლოვენია"
"უნგრეთი","უნგრეთი"
"ფინეთი","ფინეთი"
"შვედეთი","შვედეთი"
"ჩეხეთი","ჩეხეთი"
"ხორვატია","ხორვატია"
"აზერბაიჯანი","აზერბაიჯანი"
"ბელარუსი","ბელარუსი"
"თურქმენეთი","თურქმენეთი"
"მოლდოვა","მოლდოვა"
"რუსეთი","რუსეთი"
"სომხეთი","სომხეთი"
"ტაჯიკეთი","ტაჯიკეთი"
"უზბეკეთი","უზბეკეთი"
"უკრაინა","უკრაინა"
"ყაზახეთი","ყაზახეთი"
"ყირგიზეთი","ყირგიზეთი"
"ბაჰამის კუნძულები","ბაჰამები"
"ბაჰამები","ბაჰამები"
"ბელიზი","ბელიზი"
"ვირჯინის კუნძულები, ბრიტანეთი","ვირჯინიის კუნძულები, დიდი ბრიტანეთი"
"ვირჯინიის კუნძულები, დიდი ბრიტანეთი","ვირჯინიის კუნძულები, დიდი ბრიტანეთი"
"ვირჯინის კუნძულები ბრტ.","ვირჯინიის კუნძულები, დიდი ბრიტანეთი"
"კაიმანის კუნძულები","კაიმანის კუნძულები"
"პანამა","პანამა"
"სენტკიტს-ნევისი","სენტკიტს-ნევისი"
"ანგუილა","ანგუილა"
"ანტიგუა და ბარბუდა","ანტიგუა და ბარბუდა"
"არუბა","არუბა"
"ბარბადოსი","ბარბადოსი"
"კოსტა-რიკა","კოსტა-რიკა"
"გვადელუპა","გვადელუპა"
"კუბა","კუბა"
"კურაკაო","კურაკაო"
"დომინიკელთა რესპუბლიკა","დომინიკის რესპუბლიკა"
"დომინიკა","დომინიკა"
"დომინიკის რესპუბლიკა","დომინიკის რესპუბლიკა"
"სალვადორი","ელ სალვადორი"
"ელ სალვადორი","ელ სალვადორი"
"გრენადა","გრენადა"
"გვატემალა","გვატემალა"
"ბერმუდა","ბერმუდა"
"ჰაიტი","ჰაიტი"
"ჰონდურასი","ჰონდურასი"
"იამაიკა","იამაიკა"
"მონსერატი","მონსერატი"
"ნავასა","ნავასა"
"ნიკარაგუა","ნიკარაგუა"
"პუერტო-რიკო","პუერტო-რიკო"
"სენ-ბართელემი","სენ-ბართელემი"
"სენტ-ლუსია","სენტ ლუსია"
"სენტ ლუსია","სენტ ლუსია"
"სინტ-მაარტენი (ნიდერლანდების ნაწილი)","სინტ-მარტენი"
"სინტ-მარტენი","სინტ-მარტენი"
"მარტინიკა","მარტინიკა"
"სენტ ვინსენტი და გრენადინები","სენტ ვინსენტი და გრენადინები"
"სენტ-ვინსენტ და გრენადინები","სენტ ვინსენტი და გრენადინები"
"სენტ ვინსენტი და გრენადირები","სენტ ვინსენტი და გრენადინები"
"სენ-მარტენი","სენ-მარტენი"
"ტრინიდადი და ტობაგო","ტრინიდადი და ტობაგო"
"თერქსის და ქაიქოსის კუნძულები","ტერქსისა და კაიკოსის კუნძულები"
"ტერქსისა და კაიკოსის კუნძულები","ტერქსისა და კაიკოსის კუნძულები"
"თერქსისა და კაიკოსის კუნძულები","ტერქსისა და კაიკოსის კუნძულები"
"ვირჯინიის კუნძულები, ა.შ.შ.","ვირჯინიის კუნძულები, ა.შ.შ."
