კოდი,შემოკლებული დასახელება
0101,ცოცხალი ცხენები და ვირები
0102,ცოცხალი მსხვილფეხა პირუტყვი
0103,ცოცხალი ღორები 
0104,ცოცხალი ცხვრები და თხები 
0105,ცოცხალი შინაური ფრინველი 
0106,დანარჩენი ცოცხალი ცხოველები
0201,ახალი საქონლის ხორცი
0202,გაყინული საქონლის ხორცი
0203,ღორის ხორცი
0204,ახალი ცხვრის ან თხის ხორცი
0205,"ახალი ხორცი ცხენების, ვირების"
0206,გაყინული საკვები სუბპროდუქტები
0207,შინაური ფრინველის ხორცი
0208,ხორცის საკვები სუბპროდუქტები
0209,ღორის ქონი
0210,დამარილებული ხორცი
0301,ცოცხალი თევზი
0302,ახალი თევზი
0303,გაყინული თევზი
0304,გაყინული თევზის ფილე
0305,დამარილებული ხმელი თევზი
0306,კიბოსნაირნი
0307,მოლუსკები
0308,წყლის უხერხემლოები
0401,შეუსქელებელი უშაქრო რძე
0402,შესქელებული რძე
0403,"იოგურტი, კეფირი"
0404,რძის შრატი
0405,რძის ცხიმები
0406,ყველი და ხაჭო
0407,ფრინველის კვერცხი
0408,ფრინველის უნაჭუჭო კვერცხი
0409,თაფლი
0410,ცხოველური კვების პროდუქტები
0501,ადამიანის თმა
0502,ღორის ჯაგარი
0504,ცხოველის შიგნეულობა
0505,ფრინველის ნაწილები
0506,ძვლები და რქის ღერო
0507,"სპილოს ძვალი, კუს ჯავშანი, რქები"
0508,მარჯანი
0510,ცხოველური ჯირკვლები 
0511,ცხოველური პროდუქტები
0601,ბოლქვები და ფესვები
0602,ცოცხალი მცენარეები
0603,მოჭრილი ყვავილები
0604,მცენარის ნაწილები
0701,ახალი კარტოფილი
0702,ახალი პომიდორი
0703,"ხახვი, პრასი და ნიორი"
0704,"კომბოსტო, ბროკოლი"
0705,სალათა და ვარდკაჭაჭა
0706,"სტაფილო, ჭარხალი და სხვა"
0707,კიტრი და კორნიშონი
0708,პარკოსანი ბოსტნეული
0709,ახალი ბოსტნეული
0710,გაყინული ბოსტნეული
0711,დაკონსერვებული ბოსტნეული
0712,დაუმუშავებელი გამხმარი ბოსტნეული
0713,გამხმარი პარკოსანი ბოსტნეული
0714,ტკბილი კარტოფილი და სხვა
0801,"ქოქოსი, კეშიუ და ბრაზილიური თხილი"
0802,თხილი
0803,ახალი ან გამხამრი ბანანები
0804,ტროპიკული ხილი
0805,ციტრუსების ნაყოფი
0806,ყურძენი
0807,"ნესვი, საზამთრო და პაპაია"
0808,"ვაშლი, მსხალი და კომში"
0809,კურკოვანი ხილი
0810,კენკროვანი ხილი
0811,ხილი
0812,დაკონსერვებული ხილი
0813,გამხმარი ნაყოფები
0814,ციტრუსების ან ბახჩეულის ქერქი
0901,ყავა
0902,ჩაი
0903,მატე
0904,ხმელი წიწაკა
0905,ვანილი
0906,დარიჩინი
0907,მიხაკი
0908,"ჯავზი, მაცისი და ილი"
0909,თესლები
0910,სანელებლები
1001,ხორბალი და მესლინი
1002,ჭვავი
1003,ქერი
1004,შვრია
1005,სიმინდი
1006,ბრინჯი
1007,სორგო
