"","ქვეყანა","","2019","2020","2021","2022","2023","2024","2025","","","","","","","","","","","","","","","",""
"","საერთაშორისო ვიზიტორების მიერ განხორციელებული ვიზიტები","","7,725,774","1,513,421","1,721,242","4,703,945","6,171,540","6,456,064","6,856,809","","","","","","","","","","","","","","","",""
"აზერბაიჯანი","აზერბაიჯანი","","1,526,619","295,132","82,718","152,969","199,835","219,356","292,149","","","","","","","","","","","","","","","",""
"ბელარუსი","ბელარუსი","","66,174","14,340","53,698","130,046","130,203","140,536","150,325","","","","","","","","","","","","","","","",""
"ბულგარეთი","ბულგარეთი","","10,916","3,871","3,638","7,223","10,399","10,207","10,066","","","","","","","","","","","","","","","",""
"ესტონეთი","ესტონეთი","","12,482","2,819","4,353","9,263","10,581","8,933","6,943","","","","","","","","","","","","","","","",""
"თურქმენეთი","თურქმენეთი","","13,708","3,423","765","4,015","13,179","17,546","19,170","","","","","","","","","","","","","","","",""
"ლატვია","ლატვია","","20,514","3,976","7,961","16,496","23,139","22,297","17,340","","","","","","","","","","","","","","","",""
"ლიეტუვა","ლიეტუვა","","22,381","4,735","9,376","15,467","21,763","20,282","18,848","","","","","","","","","","","","","","","",""
"მოლდოვა","მოლდოვა","","6,559","1,902","2,443","8,096","12,042","15,636","14,338","","","","","","","","","","","","","","","",""
"პოლონეთი","პოლონეთი","","88,300","10,691","30,988","41,917","91,210","66,504","79,722","","","","","","","","","","","","","","","",""
"რუმინეთი","რუმინეთი","","6,815","1,205","2,248","4,157","6,545","8,246","9,328","","","","","","","","","","","","","","","",""
"რუსეთი","რუსეთი","","1,471,558","208,677","212,979","1,087,257","1,418,464","1,421,923","1,579,764","","","","","","","","","","","","","","","",""
"სლოვაკეთი","სლოვაკეთი","","6,689","1,182","1,282","3,508","4,812","5,575","6,155","","","","","","","","","","","","","","","",""
"სომხეთი","სომხეთი","","1,365,048","260,965","164,698","742,593","962,540","948,299","948,242","","","","","","","","","","","","","","","",""
"ტაჯიკეთი","ტაჯიკეთი","","5,342","3,588","5,220","6,161","6,361","6,141","4,704","","","","","","","","","","","","","","","",""
"უზბეკეთი","უზბეკეთი","","16,785","14,410","36,384","47,953","52,088","64,259","72,913","","","","","","","","","","","","","","","",""
"უკრაინა","უკრაინა","","207,667","42,414","144,901","168,915","146,931","118,528","136,826","","","","","","","","","","","","","","","",""
"უნგრეთი","უნგრეთი","","7,778","1,028","3,548","4,032","6,658","7,052","8,899","","","","","","","","","","","","","","","",""
"ყაზახეთი","ყაზახეთი","","103,611","13,779","66,787","120,494","167,492","178,930","169,367","","","","","","","","","","","","","","","",""
"ყირგიზეთი","ყირგიზეთი","","13,343","3,279","6,192","14,218","17,093","19,006","21,542","","","","","","","","","","","","","","","",""
"ჩეხეთი","ჩეხეთი","","16,018","2,476","5,316","8,681","13,819","13,618","15,023","","","","","","","","","","","","","","","",""
"გაერთიანებული სამეფო","გაერთიანებული სამეფო","","37,478","5,625","7,936","21,407","30,732","32,372","45,018","","","","","","","","","","","","","","","",""
"დანია","დანია","","6,088","568","1,158","3,103","4,202","6,211","4,732","","","","","","","","","","","","","","","",""
"ირლანდია","ირლანდია","","4,903","707","1,237","2,995","3,546","4,149","5,871","","","","","","","","","","","","","","","",""
"ისლანდია","ისლანდია","","286","32","78","280","382","405","468","","","","","","","","","","","","","","","",""
